label,tweet,cleaning,normalisasi,tokenisasi,stopword_removal
sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar,"['sulit', 'menerima', 'kenyataan', 'memang', 'bahwa', 'ada', 'sebagian', 'yang', 'menganggap', 'ketika', 'kita', 'berinteraksi', 'dengan', 'satu', 'orang', 'dari', 'satu', 'golongan', 'tertentu', 'kita', 'langsung', 'mengatakan', 'golongan', 'tertentu', 'sesaat', 'tanpa', 'kita', 'mempelajari', 'secara', 'utuh', 'dan', 'mengklaim', 'diri', 'kita', 'paling', 'benar']",sulit menerima kenyataan menganggap berinteraksi orang golongan langsung golongan mempelajari utuh mengklaim
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha satu hati sama sama maling,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet hahahahaha satu hati sama sama maling,"['samanye', 'sudah', 'maling', 'semua', 'tidak', 'sih', 'jancok', 'tidak', 'sih', 'anjing', 'tidak', 'sih', 'siluman', 'monyet', 'hahahahaha', 'satu', 'hati', 'sama', 'sama', 'maling']",samanye maling jancok anjing siluman monyet hahahahaha hati maling
anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",ku juga pengen ngamuk bacain komen netizen yg mahabenar ya lord ga abis pikir komen macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rerata yg komen jahat adalah perempuan mbaq kesehatanmu loh url,ku juga pengin ngamuk bacain komen netizen yang mahabenar ya lord tidak habis pikir komen macam begini yang bikin kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rerata yang komen jahat adalah perempuan mbaq kesehatanmu loh url,"['ku', 'juga', 'pengin', 'ngamuk', 'bacain', 'komen', 'netizen', 'yang', 'mahabenar', 'ya', 'lord', 'tidak', 'habis', 'pikir', 'komen', 'macam', 'begini', 'yang', 'bikin', 'kasus', 'pelecehan', 'seksual', 'akan', 'tenggelam', 'begitu', 'saja', 'tidak', 'ada', 'hukuman', 'untuk', 'pelaku', 'lebih', 'sedihnya', 'rerata', 'yang', 'komen', 'jahat', 'adalah', 'perempuan', 'mbaq', 'kesehatanmu', 'loh', 'url']",pengin ngamuk bacain komen netizen mahabenar ya lord habis pikir komen bikin pelecehan seksual tenggelam hukuman pelaku sedihnya rerata komen jahat perempuan mbaq kesehatanmu
love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yg pernah didapat,setiap kesempatan yang pernah hadir untuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yang pernah didapat,"['setiap', 'kesempatan', 'yang', 'pernah', 'hadir', 'untuk', 'dapat', 'membuatmu', 'selalu', 'merasa', 'aman', 'dan', 'nyaman', 'kini', 'jadi', 'suatu', 'kehormatan', 'yang', 'pernah', 'didapat']",kesempatan hadir membuatmu aman nyaman kehormatan
anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,sedap kali kau ya bobok dikasur ku aku tidur kau ikut tidur mau jadi apa kau bacanya pake logat mamak dahlia di keluarga badak,sedap kali kau ya bobok dikasur ku aku tidur kau ikut tidur mau jadi apa kau bacanya pakai logat mamak dahlia di keluarga badak,"['sedap', 'kali', 'kau', 'ya', 'bobok', 'dikasur', 'ku', 'aku', 'tidur', 'kau', 'ikut', 'tidur', 'mau', 'jadi', 'apa', 'kau', 'bacanya', 'pakai', 'logat', 'mamak', 'dahlia', 'di', 'keluarga', 'badak']",sedap kali ya bobok dikasur tidur tidur bacanya pakai logat mamak dahlia keluarga badak
happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",h mau ke bank rame bgt ampe antrian tempat duduknya ada diluar toko emas meluber ampe ga keliatan mbaknya yg jualan ke swalayan antrian kasir naudzubilah panjang bener pada bahagia semua kayaknya semoga oh semoga rs sepi pasien pada sembuh dan pulang utk berbahagia,h mau ke bank rame banget sampai antrian tempat duduknya ada diluar toko emas meluber sampai tidak kelihatan mbaknya yang jualan ke swalayan antrian kasir naudzubilah panjang benar pada bahagia semua kayaknya semoga oh semoga rs sepi pasien pada sembuh dan pulang untuk berbahagia,"['h', 'mau', 'ke', 'bank', 'rame', 'banget', 'sampai', 'antrian', 'tempat', 'duduknya', 'ada', 'diluar', 'toko', 'emas', 'meluber', 'sampai', 'tidak', 'kelihatan', 'mbaknya', 'yang', 'jualan', 'ke', 'swalayan', 'antrian', 'kasir', 'naudzubilah', 'panjang', 'benar', 'pada', 'bahagia', 'semua', 'kayaknya', 'semoga', 'oh', 'semoga', 'rs', 'sepi', 'pasien', 'pada', 'sembuh', 'dan', 'pulang', 'untuk', 'berbahagia']",h bank rame banget antrian duduknya diluar toko emas meluber mbaknya jualan swalayan antrian kasir naudzubilah bahagia kayaknya semoga oh semoga rs sepi pasien sembuh pulang berbahagia
anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",benar hancur negara ini dikelola amatiran tp kenpak username tidak mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagahan setalah salah dianulir mana marwahmu wahai mr username presiden url,benar hancur negara ini dikelola amatiran tapi kenpak username tidak mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagahan setalah salah dianulir mana marwahmu wahai mr username presiden url,"['benar', 'hancur', 'negara', 'ini', 'dikelola', 'amatiran', 'tapi', 'kenpak', 'username', 'tidak', 'mengindahkan', 'statementnya', 'sendiri', 'negara', 'miskin', 'koordinasi', 'jangan', 'asal', 'gagahan', 'setalah', 'salah', 'dianulir', 'mana', 'marwahmu', 'wahai', 'mr', 'username', 'presiden', 'url']",hancur negara dikelola amatiran kenpak mengindahkan statementnya negara miskin koordinasi gagahan setalah salah dianulir marwahmu mr presiden
anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",budayakan mencari dan membaca sebelum nanya ya udah dijelaskan berkali kok selama ga diaturgaada ketentuan khusus pakai aja,budayakan mencari dan membaca sebelum bertanya ya sudah dijelaskan berkali kok selama tidak diaturgaada ketentuan khusus pakai saja,"['budayakan', 'mencari', 'dan', 'membaca', 'sebelum', 'bertanya', 'ya', 'sudah', 'dijelaskan', 'berkali', 'kok', 'selama', 'tidak', 'diaturgaada', 'ketentuan', 'khusus', 'pakai', 'saja']",budayakan mencari membaca ya berkali diaturgaada ketentuan khusus pakai
sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit yang sabar ya kawan semoga allah memberikan yg terbaik untuk kita semua,separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit yang sabar ya kawan semoga allah memberikan yang terbaik untuk kita semua,"['separuh', 'hati', 'ini', 'iri', 'jika', 'melihat', 'seorang', 'anak', 'yang', 'masih', 'bisa', 'duduk', 'atau', 'berjalan', 'bersama', 'ibundanya', 'dan', 'separuh', 'hati', 'ini', 'turut', 'berempati', 'melihat', 'seorang', 'anak', 'yang', 'begitu', 'gundah', 'saat', 'ibundanya', 'sakit', 'yang', 'sabar', 'ya', 'kawan', 'semoga', 'allah', 'memberikan', 'yang', 'terbaik', 'untuk', 'kita', 'semua']",separuh hati iri anak duduk berjalan ibundanya separuh hati berempati anak gundah ibundanya sakit sabar ya kawan semoga allah terbaik
happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,ketika aku tersenyum bukan berarti hidupku sempurna aku hanya mensyukuri apa yang aku punya dan apa yg telah tuhan berikan untuk ku,ketika aku tersenyum bukan berarti hidupku sempurna aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku,"['ketika', 'aku', 'tersenyum', 'bukan', 'berarti', 'hidupku', 'sempurna', 'aku', 'hanya', 'mensyukuri', 'apa', 'yang', 'aku', 'punya', 'dan', 'apa', 'yang', 'telah', 'tuhan', 'berikan', 'untuk', 'ku']",tersenyum hidupku sempurna mensyukuri tuhan
sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",dari mau tdr tidur sampe bgn tdr kok yaa kayak ngerasa aneh ga enak hati udah dibawa istighfar masih aja bgn tdr kayak sedih kayak mikir ga puguh ini knp bgt coba,dari mau tidur tidur sampai bgn tidur kok ya kayak merasa aneh tidak enak hati sudah dibawa istighfar masih saja bgn tidur kayak sedih kayak mikir tidak puguh ini kenapa banget coba,"['dari', 'mau', 'tidur', 'tidur', 'sampai', 'bgn', 'tidur', 'kok', 'ya', 'kayak', 'merasa', 'aneh', 'tidak', 'enak', 'hati', 'sudah', 'dibawa', 'istighfar', 'masih', 'saja', 'bgn', 'tidur', 'kayak', 'sedih', 'kayak', 'mikir', 'tidak', 'puguh', 'ini', 'kenapa', 'banget', 'coba']",tidur tidur bgn tidur ya kayak aneh enak hati dibawa istighfar bgn tidur kayak sedih kayak mikir puguh banget coba
love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,kan kupeluk engkau erat hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg nov months,kan kupeluk engkau erat hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang nov months,"['kan', 'kupeluk', 'engkau', 'erat', 'hingga', 'tak', 'ada', 'seorang', 'pun', 'yang', 'bisa', 'merebut', 'mu', 'dari', 'pelukan', 'ku', 'happy', 'anniversary', 'sayang', 'nov', 'months']",kupeluk engkau erat merebut mu pelukan happy anniversary sayang nov months
anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,kalo mau ganti presiden itu harus jelas siapa calonnya terus diadu program kerjanya ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,kalau mau ganti presiden itu harus jelas siapa calonnya terus diadu program kerjanya ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,"['kalau', 'mau', 'ganti', 'presiden', 'itu', 'harus', 'jelas', 'siapa', 'calonnya', 'terus', 'diadu', 'program', 'kerjanya', 'ini', 'koalisi', 'belum', 'ditentuin', 'bisanya', 'cuman', 'buat', 'kaos', 'dan', 'tagar']",ganti presiden calonnya diadu program kerjanya koalisi ditentuin bisanya cuman kaos tagar
happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",sukses n keren banget dgn no kualitasbhn krjaitu cita pu agar warisan ampe ke cusukses tims bbpjn barokah terlimpahkan,sukses n keren banget dengan no kualitasbhn krjaitu cita punya agar warisan sampai ke cusukses tims bbpjn barokah terlimpahkan,"['sukses', 'n', 'keren', 'banget', 'dengan', 'no', 'kualitasbhn', 'krjaitu', 'cita', 'punya', 'agar', 'warisan', 'sampai', 'ke', 'cusukses', 'tims', 'bbpjn', 'barokah', 'terlimpahkan']",sukses n keren banget no kualitasbhn krjaitu cita warisan cusukses tims bbpjn barokah terlimpahkan
