Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,Anger,silibus kita memang kbat gila babi bodoh yang buat silibus ni learning should be fun,silibus kita memang kbat gila babi bodoh yang buat silibus nih learning should be fun,"['silibus', 'kita', 'memang', 'kbat', 'gila', 'babi', 'bodoh', 'yang', 'buat', 'silibus', 'nih', 'learning', 'should', 'be', 'fun']",silibus kbat gila babi bodoh silibus learning should be fun
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger,pagipagi dikerjain orang haha dikira gua bego ya gua ladenin lahh liat sampe manaa,pagipagi dikerjain orang haha dikira gua bego ya gua meladeni lah lihat sampai manaa,"['pagipagi', 'dikerjain', 'orang', 'haha', 'dikira', 'gua', 'bego', 'ya', 'gua', 'meladeni', 'lah', 'lihat', 'sampai', 'manaa']",pagipagi dikerjain orang haha gua bego gua meladeni lihat manaa
"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",Anger,angka covid lagi naek kalo masih dilanjut event offlinenya asli bodoh sih ni brand,angka covid lagi naik kalau masih dilanjut event offlinenya asli bodoh sih nih brand,"['angka', 'covid', 'lagi', 'naik', 'kalau', 'masih', 'dilanjut', 'event', 'offlinenya', 'asli', 'bodoh', 'sih', 'nih', 'brand']",angka covid dilanjut event offlinenya asli bodoh brand
"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",Anger,bukan lebih ke sangar sih kalo menurutku goblokk bin tolol di ingetin untuk kebaikan malah acuh,bukan lebih ke sangar sih kalau menurutku goblokk bin tolol di mengingatkan untuk kebaikan malah acuh,"['bukan', 'lebih', 'ke', 'sangar', 'sih', 'kalau', 'menurutku', 'goblokk', 'bin', 'tolol', 'di', 'mengingatkan', 'untuk', 'kebaikan', 'malah', 'acuh']",sangar menurutku goblokk bin tolol kebaikan acuh
"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",Anger,mas ngelonte dulu mas biar otaknya jadi seger lg bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama punya tolol kok kebangetan bgt sih,mas ngelonte dulu mas biar otaknya jadi segar lagi bagi orang kafir seperti kamu ngewe dengan lonte ibadah yang utama punya tolol kok kebangetan banget sih,"['mas', 'ngelonte', 'dulu', 'mas', 'biar', 'otaknya', 'jadi', 'segar', 'lagi', 'bagi', 'orang', 'kafir', 'seperti', 'kamu', 'ngewe', 'dengan', 'lonte', 'ibadah', 'yang', 'utama', 'punya', 'tolol', 'kok', 'kebangetan', 'banget', 'sih']",mas ngelonte mas biar otaknya segar orang kafir ngewe lonte ibadah utama tolol kebangetan banget
1-10!! marah aku,Anger,marah aku,marah aku,"['marah', 'aku']",marah
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,Anger,tolol banget mana ada bercinta yg ada mimpi di kejar kejar setan semalem asu bocil nih yang iya iya aja kalo bicara,tolol banget mana ada bercinta yang ada mimpi di kejar kejar setan semalem asu bocil nih yang iya iya saja kalau bicara,"['tolol', 'banget', 'mana', 'ada', 'bercinta', 'yang', 'ada', 'mimpi', 'di', 'kejar', 'kejar', 'setan', 'semalem', 'asu', 'bocil', 'nih', 'yang', 'iya', 'iya', 'saja', 'kalau', 'bicara']",tolol banget bercinta mimpi kejar kejar setan semalem asu bocil bicara
"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",Anger,izinin suami poligami buat menghindari zina lol banget heh mmngnya nabi saya poligami gegara mata keranjang trus sangean trus ada niatan zina tpi biar gak zina jdi dinikahin ngelirik cewek sambil nyebarin ajaran agama gitu tolol belajar agama lagi sana,izinin suami poligami buat menghindari zina lol banget heh mmngnya nabi saya poligami gegara mata keranjang terus sangean terus ada niatan zina tapi biar tidak zina jadi dinikahin ngelirik cewek sambil nyebarin ajaran agama begitu tolol belajar agama lagi sana,"['izinin', 'suami', 'poligami', 'buat', 'menghindari', 'zina', 'lol', 'banget', 'heh', 'mmngnya', 'nabi', 'saya', 'poligami', 'gegara', 'mata', 'keranjang', 'terus', 'sangean', 'terus', 'ada', 'niatan', 'zina', 'tapi', 'biar', 'tidak', 'zina', 'jadi', 'dinikahin', 'ngelirik', 'cewek', 'sambil', 'nyebarin', 'ajaran', 'agama', 'begitu', 'tolol', 'belajar', 'agama', 'lagi', 'sana']",izinin suami poligami menghindari zina lol banget heh mmngnya nabi poligami gegara mata keranjang sangean niatan zina biar zina dinikahin ngelirik cewek nyebarin ajaran agama tolol belajar agama
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,Anger,gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,gua nyerah joki saja kali ya tugas poem ya allah kenapa aku bego b ing,"['gua', 'nyerah', 'joki', 'saja', 'kali', 'ya', 'tugas', 'poem', 'ya', 'allah', 'kenapa', 'aku', 'bego', 'b', 'ing']",gua nyerah joki kali tugas poem allah bego b ing
hah? kaya dendam bnaget sama ibu,Anger,hah kaya dendam bnaget sama ibu,hah kayak dendam bnaget sama ibu,"['hah', 'kayak', 'dendam', 'bnaget', 'sama', 'ibu']",hah kayak dendam bnaget
huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,Anger,huahh benci covid bangett semoga berhenti di jimin tidak ada jungkook dan juga taehyung no god pliss,huahh benci covid banget semoga berhenti di jimin tidak ada jungkook dan juga taehyung no god pliss,"['huahh', 'benci', 'covid', 'banget', 'semoga', 'berhenti', 'di', 'jimin', 'tidak', 'ada', 'jungkook', 'dan', 'juga', 'taehyung', 'no', 'god', 'pliss']",huahh benci covid banget semoga berhenti jimin jungkook taehyung no god pliss
"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",Anger,benci banget sama diri sendiri gampang nangis kalo ngobrol sama orang tua,benci banget sama diri sendiri gampang menangis kalau mengobrol sama orang tua,"['benci', 'banget', 'sama', 'diri', 'sendiri', 'gampang', 'menangis', 'kalau', 'mengobrol', 'sama', 'orang', 'tua']",benci banget gampang menangis mengobrol orang tua
"ni geng lgbt patutle. libtard, gay, bodoh, tahi",Anger,ni geng lgbt patutle libtard gay bodoh tahi,nih geng lgbt patutle libtard gay bodoh tahi,"['nih', 'geng', 'lgbt', 'patutle', 'libtard', 'gay', 'bodoh', 'tahi']",geng lgbt patutle libtard gay bodoh tahi
iya ni tvn kan suka memancing emosi penonton,Anger,iya ni tvn kan suka memancing emosi penonton,iya nih tvn kan suka memancing emosi penonton,"['iya', 'nih', 'tvn', 'kan', 'suka', 'memancing', 'emosi', 'penonton']",tvn suka memancing emosi penonton
sei ini ya gue baru bangun tidur udh bikin emosi aja,Anger,sei ini ya gue baru bangun tidur udh bikin emosi aja,sei ini ya gue baru bangun tidur sudah bikin emosi saja,"['sei', 'ini', 'ya', 'gue', 'baru', 'bangun', 'tidur', 'sudah', 'bikin', 'emosi', 'saja']",sei gue bangun tidur bikin emosi
mau marah bangeett kenapa orang orang jahat bgt si,Anger,mau marah bangeett kenapa orang orang jahat bgt si,mau marah banget kenapa orang orang jahat banget sih,"['mau', 'marah', 'banget', 'kenapa', 'orang', 'orang', 'jahat', 'banget', 'sih']",marah banget orang orang jahat banget
kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,Anger,kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,kadang suka emosi baca beginian tapi orang goblog memang susah kalau diajak mengobrol,"['kadang', 'suka', 'emosi', 'baca', 'beginian', 'tapi', 'orang', 'goblog', 'memang', 'susah', 'kalau', 'diajak', 'mengobrol']",kadang suka emosi baca orang goblog susah diajak mengobrol
si mutajir mancing emosi sih pagi2,Anger,si mutajir mancing emosi sih pagi,sih mutajir mancing emosi sih pagi,"['sih', 'mutajir', 'mancing', 'emosi', 'sih', 'pagi']",mutajir mancing emosi pagi
udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol,Anger,udah gw baca panjangpanjang kirain analisisnya bakal boom ternyta hanya hasil pikiran otak pendek tolol,sudah gue baca panjangpanjang mengira analisisnya bakal boom ternyta hanya hasil pikiran otak pendek tolol,"['sudah', 'gue', 'baca', 'panjangpanjang', 'mengira', 'analisisnya', 'bakal', 'boom', 'ternyta', 'hanya', 'hasil', 'pikiran', 'otak', 'pendek', 'tolol']",gue baca panjangpanjang analisisnya boom ternyta hasil pikiran otak pendek tolol
emosi bung,Anger,emosi bung,emosi bung,"['emosi', 'bung']",emosi
mvp pun kene marah tak capai kpi ke ?,Anger,mvp pun kene marah tak capai kpi ke,mvp pun kene marah tak capai kpi ke,"['mvp', 'pun', 'kene', 'marah', 'tak', 'capai', 'kpi', 'ke']",mvp kene marah capai kpi
opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini,Anger,opini lu jelek bro menutup keburukan dg agama lu benarkan poligami untuk menghindari zina tolol palkon banyak bacot ttg agama ya gini,opini kamu jelek bro menutup keburukan dengan agama kamu benarkan poligami untuk menghindari zina tolol palkon banyak bacot tentang agama ya begini,"['opini', 'kamu', 'jelek', 'bro', 'menutup', 'keburukan', 'dengan', 'agama', 'kamu', 'benarkan', 'poligami', 'untuk', 'menghindari', 'zina', 'tolol', 'palkon', 'banyak', 'bacot', 'tentang', 'agama', 'ya', 'begini']",opini jelek bro menutup keburukan agama benarkan poligami menghindari zina tolol palkon bacot agama
kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet. emosi kan gue ajgg,Anger,kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet emosi kan gue ajgg,kapan ya manajemen di rs diubah biar tidak lempar lemparan begini anjimm orang ke rs tuh butuh penanganan cepat bukan bolak balik ribet emosi kan gue ajgg,"['kapan', 'ya', 'manajemen', 'di', 'rs', 'diubah', 'biar', 'tidak', 'lempar', 'lemparan', 'begini', 'anjimm', 'orang', 'ke', 'rs', 'tuh', 'butuh', 'penanganan', 'cepat', 'bukan', 'bolak', 'balik', 'ribet', 'emosi', 'kan', 'gue', 'ajgg']",manajemen rs diubah biar lempar lemparan anjimm orang rs butuh penanganan cepat bolak ribet emosi gue ajgg
dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?,Anger,dari turunkan ayam kupang baik buat polisi majukan industri sumber makanan negara kita negara tropika kot apa jadah harap makanan ternakan import bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri,dari turunkan ayam kupang baik buat polisi majukan industri sumber makanan negara kita negara tropika kot apa jadah harap makanan ternakan import bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri,"['dari', 'turunkan', 'ayam', 'kupang', 'baik', 'buat', 'polisi', 'majukan', 'industri', 'sumber', 'makanan', 'negara', 'kita', 'negara', 'tropika', 'kot', 'apa', 'jadah', 'harap', 'makanan', 'ternakan', 'import', 'bodoh', 'sangat', 'ke', 'orang', 'malaysia', 'sampai', 'dedak', 'ayam', 'pun', 'tak', 'boleh', 'buat', 'sendiri']",turunkan ayam kupang polisi majukan industri sumber makanan negara negara tropika kot jadah harap makanan ternakan import bodoh orang malaysia dedak ayam
unesco org arab hahaa kata yg benci anis,Anger,unesco org arab hahaa kata yg benci anis,unesco orang arab hahaa kata yang benci anis,"['unesco', 'orang', 'arab', 'hahaa', 'kata', 'yang', 'benci', 'anis']",unesco orang arab hahaa benci anis
"satu kata jangan mengundi , sebab semua bodoh",Anger,satu kata jangan mengundi sebab semua bodoh,satu kata jangan mengundi sebab semua bodoh,"['satu', 'kata', 'jangan', 'mengundi', 'sebab', 'semua', 'bodoh']",mengundi bodoh
"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!",Anger,diam adalah jawaban terbaik untuk menghadapi orang bodoh,diam adalah jawaban terbaik untuk menghadapi orang bodoh,"['diam', 'adalah', 'jawaban', 'terbaik', 'untuk', 'menghadapi', 'orang', 'bodoh']",diam terbaik menghadapi orang bodoh
"sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011",Anger,sangat tolol bbm langkaberas mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar sampai,sangat tolol bbm langkaberas mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar sampai,"['sangat', 'tolol', 'bbm', 'langkaberas', 'mahal', 'cuma', 'sarapan', 'jagung', 'dan', 'ubi', 'sebelum', 'berangkat', 'sekolah', 'itu', 'sekitar', 'sampai']",tolol bbm langkaberas mahal sarapan jagung ubi berangkat sekolah
bangsat ini akun sy di hack kah?,Anger,bangsat ini akun sy di hack kah,bangsat ini akun saya di hack kah,"['bangsat', 'ini', 'akun', 'saya', 'di', 'hack', 'kah']",bangsat akun hack kah
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.",Anger,lah kakak gue yang umur harus manggil gue yang umur apaan anjrit kalo bukan adek oh saya anak tunggal ada anak perempuan satu lagi punya ayah ibu saya gitu tolol ih,lah kakak gue yang umur harus manggil gue yang umur apaan anjrit kalau bukan adek oh saya anak tunggal ada anak perempuan satu lagi punya ayah ibu saya begitu tolol ih,"['lah', 'kakak', 'gue', 'yang', 'umur', 'harus', 'manggil', 'gue', 'yang', 'umur', 'apaan', 'anjrit', 'kalau', 'bukan', 'adek', 'oh', 'saya', 'anak', 'tunggal', 'ada', 'anak', 'perempuan', 'satu', 'lagi', 'punya', 'ayah', 'ibu', 'saya', 'begitu', 'tolol', 'ih']",kakak gue umur manggil gue umur anjrit adek oh anak tunggal anak perempuan ayah tolol ih
ni betul2 punya marah..,Anger,ni betul punya marah,nih betul punya marah,"['nih', 'betul', 'punya', 'marah']",marah
"ternyata ada yg lebih bego dari aku, jauh malah",Anger,ternyata ada yg lebih bego dari aku jauh malah,ternyata ada yang lebih bego dari aku jauh malah,"['ternyata', 'ada', 'yang', 'lebih', 'bego', 'dari', 'aku', 'jauh', 'malah']",bego
harus nya dihukum mati itu bangsat. rusak nama sumut karena dia,Anger,harus nya dihukum mati itu bangsat rusak nama sumut karena dia,harus ya dihukum mati itu bangsat rusak nama sumut karena dia,"['harus', 'ya', 'dihukum', 'mati', 'itu', 'bangsat', 'rusak', 'nama', 'sumut', 'karena', 'dia']",dihukum mati bangsat rusak nama sumut
hmm siapa lagi yg harus aku benci,Anger,hmm siapa lagi yg harus aku benci,hmm siapa lagi yang harus aku benci,"['hmm', 'siapa', 'lagi', 'yang', 'harus', 'aku', 'benci']",hmm benci
tyhan gue ga kuat banget bangsat,Anger,tyhan gue ga kuat banget bangsat,tyhan gue tidak kuat banget bangsat,"['tyhan', 'gue', 'tidak', 'kuat', 'banget', 'bangsat']",tyhan gue kuat banget bangsat
sumpah gw emosi banget yoo,Anger,sumpah gw emosi banget yoo,sumpah gue emosi banget ya,"['sumpah', 'gue', 'emosi', 'banget', 'ya']",sumpah gue emosi banget
yg dinamakan org prik bin tolol,Anger,yg dinamakan org prik bin tolol,yang dinamakan orang prik bin tolol,"['yang', 'dinamakan', 'orang', 'prik', 'bin', 'tolol']",dinamakan orang prik bin tolol
ini faisal basri ngga lagi kena stroke kan? atau tiba2 mental retarded? ciri khas jokowi? ketukar sama sby pak faisal. jgn bangsat drun.,Anger,ini faisal basri ngga lagi kena stroke kan atau tiba mental retarded ciri khas jokowi ketukar sama sby pak faisal jgn bangsat drun,ini faisal basri tidak lagi kena stroke kan atau tiba mental retarded ciri khas jokowi ketukar sama surabaya pak faisal jangan bangsat drun,"['ini', 'faisal', 'basri', 'tidak', 'lagi', 'kena', 'stroke', 'kan', 'atau', 'tiba', 'mental', 'retarded', 'ciri', 'khas', 'jokowi', 'ketukar', 'sama', 'surabaya', 'pak', 'faisal', 'jangan', 'bangsat', 'drun']",faisal basri kena stroke mental retarded ciri khas jokowi ketukar surabaya faisal bangsat drun
dipta kamu jangan bego bisa ga?,Anger,dipta kamu jangan bego bisa ga,dipta kamu jangan bego bisa tidak,"['dipta', 'kamu', 'jangan', 'bego', 'bisa', 'tidak']",dipta bego
iya anjrott jangan jangan dia punya dendam sama gue ya,Anger,iya anjrott jangan jangan dia punya dendam sama gue ya,iya anjrott jangan jangan dia punya dendam sama gue ya,"['iya', 'anjrott', 'jangan', 'jangan', 'dia', 'punya', 'dendam', 'sama', 'gue', 'ya']",anjrott dendam gue
"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol",Anger,apa bedanya coba awal chat huruf kapital apa engga sahabat kamu kok tolol,apa bedanya coba awal chat huruf kapital apa tidak sahabat kamu kok tolol,"['apa', 'bedanya', 'coba', 'awal', 'chat', 'huruf', 'kapital', 'apa', 'tidak', 'sahabat', 'kamu', 'kok', 'tolol']",bedanya coba chat huruf kapital sahabat tolol
"bangsat, mang lu udah?",Anger,bangsat mang lu udah,bangsat memang kamu sudah,"['bangsat', 'memang', 'kamu', 'sudah']",bangsat
"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah",Anger,saya bisa masak saya ini sudah ada bekal untuk main benda tajam dan minyak panas jadi tolong hargai saya dan jangan bikin saya marah,saya bisa masak saya ini sudah ada bekal untuk main benda tajam dan minyak panas jadi tolong hargai saya dan jangan bikin saya marah,"['saya', 'bisa', 'masak', 'saya', 'ini', 'sudah', 'ada', 'bekal', 'untuk', 'main', 'benda', 'tajam', 'dan', 'minyak', 'panas', 'jadi', 'tolong', 'hargai', 'saya', 'dan', 'jangan', 'bikin', 'saya', 'marah']",masak bekal main benda tajam minyak panas tolong hargai bikin marah
bego ya begi diba astaga,Anger,bego ya begi diba astaga,bego ya begi diba astaga,"['bego', 'ya', 'begi', 'diba', 'astaga']",bego begi diba astaga
gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.,Anger,gue baik tapi gue ga tolol semoga orang tua gue sehat terus lancar rejeki biar ga usah gue ngandelin sodara kaya anjing,gue baik tapi gue tidak tolol semoga orang tua gue sehat terus lancar rejeki biar tidak usah gue ngandelin sodara kayak anjing,"['gue', 'baik', 'tapi', 'gue', 'tidak', 'tolol', 'semoga', 'orang', 'tua', 'gue', 'sehat', 'terus', 'lancar', 'rejeki', 'biar', 'tidak', 'usah', 'gue', 'ngandelin', 'sodara', 'kayak', 'anjing']",gue gue tolol semoga orang tua gue sehat lancar rejeki biar gue ngandelin sodara kayak anjing
bangsat,Anger,bangsat,bangsat,['bangsat'],bangsat
"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?",Anger,eh kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah,eh kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah,"['eh', 'kau', 'tidak', 'pernah', 'merancang', 'kejatuhan', 'orang', 'kau', 'benci', 'dengan', 'perempuan', 'lain', 'kah']",eh kau merancang kejatuhan orang kau benci perempuan kah
hah bodoh kali kau pantek,Anger,hah bodoh kali kau pantek,hah bodoh kali kau pantek,"['hah', 'bodoh', 'kali', 'kau', 'pantek']",hah bodoh kali kau pantek
emosi mlu nnti jd burag loh,Anger,emosi mlu nnti jd burag loh,emosi melulu nanti jadi burag loh,"['emosi', 'melulu', 'nanti', 'jadi', 'burag', 'loh']",emosi melulu burag loh
yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue,Anger,yaa kann ga ngerasa cape cuman larinya jadi lemot bangett emosi gue,ya kan tidak merasa capek cuman larinya jadi lemot banget emosi gue,"['ya', 'kan', 'tidak', 'merasa', 'capek', 'cuman', 'larinya', 'jadi', 'lemot', 'banget', 'emosi', 'gue']",capek cuman larinya lemot banget emosi gue
shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo,Anger,shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo,shipper sebelah kalau tidak suka sama noren tidak usah mampir sudah tau benci sama noren malah baca au ya kocak banget lo,"['shipper', 'sebelah', 'kalau', 'tidak', 'suka', 'sama', 'noren', 'tidak', 'usah', 'mampir', 'sudah', 'tau', 'benci', 'sama', 'noren', 'malah', 'baca', 'au', 'ya', 'kocak', 'banget', 'lo']",shipper sebelah suka noren mampir benci noren baca au kocak banget
tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu,Anger,tak sempat la ni nak balas dendam minggu depan mesti sakit dh hilang time tu,tak sempat lah nih nak balas dendam minggu depan mesti sakit dah hilang time itu,"['tak', 'sempat', 'lah', 'nih', 'nak', 'balas', 'dendam', 'minggu', 'depan', 'mesti', 'sakit', 'dah', 'hilang', 'time', 'itu']",nak balas dendam minggu mesti sakit dah hilang time
